Code;Nom_commune;Code_postal;Zonage dentistes
01400;SEILLONNAZ;01470;1_Tres_sous_dotee
01401;SERGY;01630;1_Tres_sous_dotee
01402;SERMOYER;01190;1_Tres_sous_dotee
01403;SERRIERES DE BRIORD;01470;1_Tres_sous_dotee
01404;SERRIERES SUR AIN;01450;3_intermediaire
01405;SERVAS;01960;1_Tres_sous_dotee
01406;SERVIGNAT;01560;1_Tres_sous_dotee
01407;SEYSSEL;01420;1_Tres_sous_dotee
01408;SIMANDRE SUR SURAN;01250;3_intermediaire
01410;SONTHONNAX LA MONTAGNE;01580;3_intermediaire
01410;SONTHONNAX LA MONTAGNE;01580;3_intermediaire
01411;SOUCLIN;01150;3_intermediaire
01412;SULIGNAT;01400;1_Tres_sous_dotee
01415;TALISSIEU;01510;1_Tres_sous_dotee
01416;TENAY;01230;1_Tres_sous_dotee
01418;THIL;01120;3_intermediaire
01419;THOIRY;01710;1_Tres_sous_dotee
01420;THOISSEY;01140;1_Tres_sous_dotee
01421;TORCIEU;01230;3_intermediaire
01422;TOSSIAT;01250;1_Tres_sous_dotee
01423;TOUSSIEUX;01600;3_intermediaire
01424;TRAMOYES;01390;1_Tres_sous_dotee
01425;LA TRANCLIERE;01160;1_Tres_sous_dotee
01426;VAL REVERMONT;01370;3_intermediaire
01426;VAL REVERMONT;01370;3_intermediaire
01426;VAL REVERMONT;01370;3_intermediaire
01427;TREVOUX;01600;3_intermediaire
01428;VALEINS;01140;1_Tres_sous_dotee
01429;VANDEINS;01660;1_Tres_sous_dotee
01430;VARAMBON;01160;3_intermediaire
01431;VAUX EN BUGEY;01150;3_intermediaire
01432;VERJON;01270;1_Tres_sous_dotee
01433;VERNOUX;01560;1_Tres_sous_dotee
01434;VERSAILLEUX;01330;2_Sous_dotee
01435;VERSONNEX;01210;3_intermediaire
01436;VESANCY;01170;3_intermediaire
01437;VESCOURS;01560;1_Tres_sous_dotee
01439;VESINES;01570;3_intermediaire
01441;VIEU D IZENAVE;01430;1_Tres_sous_dotee
01443;VILLARS LES DOMBES;01330;2_Sous_dotee
01444;VILLEBOIS;01150;1_Tres_sous_dotee
01445;VILLEMOTIER;01270;1_Tres_sous_dotee
01446;VILLENEUVE;01480;3_intermediaire
01447;VILLEREVERSURE;01250;3_intermediaire
01448;VILLES;01200;1_Tres_sous_dotee
01449;VILLETTE SUR AIN;01320;3_intermediaire
01450;VILLIEU LOYES MOLLON;01800;1_Tres_sous_dotee
01450;VILLIEU LOYES MOLLON;01800;1_Tres_sous_dotee
01450;VILLIEU LOYES MOLLON;01800;1_Tres_sous_dotee
01451;VIRIAT;01440;3_intermediaire
01452;VIRIEU LE GRAND;01510;1_Tres_sous_dotee
01453;ARVIERE EN VALROMEY;01260;1_Tres_sous_dotee
01453;ARVIERE EN VALROMEY;01260;1_Tres_sous_dotee
01453;ARVIERE EN VALROMEY;01260;1_Tres_sous_dotee
01453;ARVIERE EN VALROMEY;01260;1_Tres_sous_dotee
01454;VIRIGNIN;01300;1_Tres_sous_dotee
01456;VONGNES;01350;1_Tres_sous_dotee
